iter	Logloss
0	0.6928446308
1	0.6926286521
2	0.6924165035
3	0.6922602678
4	0.6920994268
5	0.6919444809
6	0.6917005884
7	0.6914583412
8	0.6912738615
9	0.6910958033
10	0.6909683893
11	0.690767068
12	0.690562813
13	0.6904898521
14	0.6903659714
15	0.6903131992
16	0.6902005753
17	0.6900252608
18	0.6898823817
19	0.6897446745
20	0.6895729003
21	0.6894670354
22	0.6893808182
23	0.68929589
24	0.6892265782
25	0.6890643234
26	0.6889546584
27	0.6888450225
28	0.6887490293
29	0.688646409
30	0.6886071038
31	0.6884920812
32	0.6883172448
33	0.6881755563
34	0.6881168957
35	0.688063172
36	0.688020313
37	0.6879083783
38	0.6877467764
39	0.6876865209
40	0.6876251165
41	0.6875571728
42	0.6874455441
43	0.6874039949
44	0.6872540507
45	0.6872035247
46	0.6870745472
47	0.6869686797
48	0.6869003397
49	0.6867692534
50	0.6866721966
51	0.6866463031
52	0.6865966408
53	0.6864687882
54	0.6864012824
55	0.6862679238
56	0.6861727158
57	0.686074747
58	0.6859739456
59	0.6859069034
60	0.6858589824
61	0.6857517445
62	0.6857055143
63	0.6856379683
64	0.6855562227
65	0.6854943931
66	0.6854367153
67	0.6853453557
68	0.685263558
69	0.6851749215
70	0.6850798736
71	0.6850592825
72	0.684978872
73	0.6849097811
74	0.6848085682
75	0.6847290437
76	0.6846376608
77	0.6845365996
78	0.6844622625
79	0.6844158893
80	0.6842931119
81	0.6841918222
82	0.6841136522
83	0.6840542352
84	0.6839984104
85	0.6839432704
86	0.6838909301
87	0.6838520925
88	0.683781382
89	0.6837144089
90	0.6836386558
91	0.6836087487
92	0.6835246145
93	0.6834653597
94	0.6833883507
95	0.6833063777
96	0.6832250071
97	0.6831338337
98	0.6830509695
99	0.682977095
100	0.6829315688
101	0.6828800945
102	0.6828148418
103	0.6827173596
104	0.6826699848
105	0.6826237802
106	0.6825224077
107	0.6824420247
108	0.6823925011
109	0.6823345182
110	0.6823137064
111	0.6821926615
112	0.6821261556
113	0.682053595
114	0.6819661257
115	0.6819388916
116	0.6818956095
117	0.6818270829
118	0.6817646072
119	0.6817031773
120	0.6816474117
121	0.6815282668
122	0.6814365921
123	0.6813631707
124	0.6813153995
125	0.6812749289
126	0.6811667458
127	0.6811221986
128	0.6810234672
129	0.6809182338
130	0.6808269976
131	0.6807591809
132	0.6807062777
133	0.6806764146
134	0.6806162367
135	0.6805251884
136	0.6804953195
137	0.6804169797
138	0.6803301129
139	0.6802642716
140	0.6802078248
141	0.6801669854
142	0.680121283
143	0.6800710719
144	0.6800140004
145	0.6799543738
146	0.6799056044
147	0.6798620154
148	0.6798193141
149	0.6797365217
150	0.6796808198
151	0.679616772
152	0.679528717
153	0.6794629866
154	0.6793847123
155	0.6793292849
156	0.6792915742
157	0.6792510054
158	0.6791831427
159	0.6791536971
160	0.679059916
161	0.6790371237
162	0.6789845318
163	0.678957231
164	0.6789012724
165	0.6788064274
166	0.6787420601
167	0.6786802466
168	0.6786188702
169	0.6785972291
170	0.6785161125
171	0.6784831691
172	0.6784281642
173	0.6783794764
174	0.6782843223
175	0.6782205596
176	0.6781344025
177	0.6780898213
178	0.6780394724
179	0.6779923033
180	0.677934597
181	0.6778812518
182	0.6778305082
183	0.6778163265
184	0.677749757
185	0.6776921073
186	0.6776358204
187	0.6776097346
188	0.6774917975
189	0.6774281494
190	0.6774015315
191	0.6773462925
192	0.6772574097
193	0.6772006075
194	0.6771519831
195	0.6771109664
196	0.6770844768
197	0.6770546456
198	0.6769796915
199	0.6769265385
200	0.6768283834
201	0.6767976774
202	0.6767211166
203	0.6766668499
204	0.6766452879
205	0.6765864503
206	0.6764830884
207	0.6764150949
208	0.6763460401
209	0.6762405177
210	0.6762016895
211	0.6761709028
212	0.6761271453
213	0.6760724569
214	0.676021299
215	0.675947848
216	0.6759250886
217	0.6758806473
218	0.6758081992
219	0.6757471751
220	0.6756478034
221	0.6756153432
222	0.6755799197
223	0.6755237792
224	0.6754982258
225	0.675449555
226	0.6753809056
227	0.6753440695
228	0.6752889446
229	0.6752203083
230	0.6751937525
231	0.6751594853
232	0.6751252726
233	0.6750753901
234	0.6749718816
235	0.6748871076
236	0.674849711
237	0.6748109426
238	0.6747096584
239	0.6746679279
240	0.6746467332
241	0.6745949782
242	0.6745078892
243	0.6744590061
244	0.6744207232
245	0.674378331
246	0.6742896355
247	0.6742508619
248	0.6742132009
249	0.6741786718
250	0.6741129175
251	0.6740868517
252	0.6740388931
253	0.6740255044
254	0.6739513779
255	0.6739228677
256	0.6738914807
257	0.6738307823
258	0.6737641618
259	0.673723677
260	0.673662452
261	0.6736140918
262	0.6735393423
263	0.6734825536
264	0.6734360461
265	0.6733952501
266	0.6733555138
267	0.6733162154
268	0.6732891553
269	0.6732445739
270	0.6732180692
271	0.6731596684
272	0.6731147871
273	0.6730803665
274	0.6730198145
275	0.6729899194
276	0.6729642107
277	0.6729307393
278	0.6728968594
279	0.6728448349
280	0.6727893283
281	0.6727380777
282	0.6726927214
283	0.6726659479
284	0.6725792778
285	0.6725286151
286	0.6724720452
287	0.6723988154
288	0.6723503003
289	0.6722824496
290	0.6721740185
291	0.6721428427
292	0.6721051261
293	0.6720374393
294	0.6720016249
295	0.6719578376
296	0.6719271269
297	0.671864803
298	0.6718069832
299	0.6717680631
300	0.6716922666
301	0.6716736516
302	0.6716415676
303	0.6715674898
304	0.6715021186
305	0.6714482935
306	0.671401304
307	0.6713505641
308	0.6713044059
309	0.6712498088
310	0.6712221184
311	0.6711675149
312	0.6711202282
313	0.67107078
314	0.6710162128
315	0.6709812242
316	0.670949826
317	0.6708697672
318	0.6708113401
319	0.6707770954
320	0.6707496571
321	0.670689757
322	0.6706027777
323	0.6705824629
324	0.6705568833
325	0.6705167193
326	0.6704831586
327	0.670440679
328	0.6703785347
329	0.6702991329
330	0.6702777416
331	0.670234828
332	0.6701508981
333	0.6700962711
334	0.6700555381
335	0.6700062532
336	0.6699817401
337	0.6699583658
338	0.6699091556
339	0.6698466426
340	0.6698157179
341	0.6697572276
342	0.6697118472
343	0.6696528629
344	0.6695866208
345	0.6695481725
346	0.66951199
347	0.669454895
348	0.6694252682
349	0.669350173
350	0.6693025057
351	0.6692732309
352	0.6692238827
353	0.6691619434
354	0.6691319064
355	0.6691043288
356	0.6690407557
357	0.6689801531
358	0.6689574928
359	0.6689065503
360	0.668873643
361	0.6688521721
362	0.6688256566
363	0.6688075183
364	0.6687806971
365	0.6687317399
366	0.6686940516
367	0.6686267643
368	0.6685992064
369	0.6685388765
370	0.6685008087
371	0.6684683263
372	0.6683857175
373	0.668333411
374	0.668263993
375	0.6682186335
376	0.6681570049
377	0.6680974531
378	0.6680311168
379	0.6679543938
380	0.6679066282
381	0.6678270734
382	0.6677895147
383	0.6677545978
384	0.6677002063
385	0.6676550421
386	0.6676119115
387	0.6675791658
388	0.6675318587
389	0.6674636357
390	0.6674301955
391	0.6673770691
392	0.6673241526
393	0.6672984837
394	0.6672666502
395	0.6672011276
396	0.6671604863
397	0.6671064774
398	0.6670277429
399	0.6669885095
400	0.6669569285
401	0.6668973391
402	0.6668383634
403	0.6667673054
404	0.6666914318
405	0.666666757
406	0.6666207291
407	0.6665479176
408	0.666462547
409	0.6664211592
410	0.6663349628
411	0.6662954261
412	0.6662313711
413	0.6661713479
414	0.6661489666
415	0.6660448041
416	0.6660100024
417	0.6659960652
418	0.6659554002
419	0.6659048823
420	0.6658633747
421	0.6658302501
422	0.6657599313
423	0.6657216714
424	0.6656510926
425	0.6656002087
426	0.6655459041
427	0.6655254651
428	0.6654969069
429	0.6654484042
430	0.6654094908
431	0.6653875529
432	0.6653418162
433	0.6652400874
434	0.6652029155
435	0.6651520671
436	0.6651149641
437	0.6650798371
438	0.6650169936
439	0.6649594046
440	0.6649200957
441	0.6648775294
442	0.6648129291
443	0.6647758996
444	0.6647247357
445	0.6646740551
446	0.6645987144
447	0.6644960023
448	0.6644528863
449	0.6644106522
450	0.6643728045
451	0.6643343669
452	0.66425653
453	0.664166571
454	0.6641169372
455	0.6640685204
456	0.6640323893
457	0.6639880367
458	0.6639558867
459	0.6638930267
460	0.6638354916
461	0.6637719602
462	0.663704124
463	0.6636358126
464	0.6635959294
465	0.6635008954
466	0.6634112685
467	0.6633419305
468	0.663273166
469	0.6632376761
470	0.6631783861
471	0.6631098137
472	0.6630641165
473	0.6630019165
474	0.6629681147
475	0.662910886
476	0.6628594775
477	0.6628203337
478	0.6627272292
479	0.662692248
480	0.6626560901
481	0.6626305412
482	0.6625916662
483	0.6625314782
484	0.6624864047
485	0.6624481596
486	0.6624103759
487	0.6623767428
488	0.6623305812
489	0.6622925863
490	0.6622581743
491	0.6622119904
492	0.6621692825
493	0.6621126292
494	0.6620236753
495	0.6619763585
496	0.661911988
497	0.6618776612
498	0.6618439561
499	0.6618060246
