iter	Passed	Remaining
0	1	583
1	2	499
2	2	472
3	4	556
4	5	557
5	6	567
6	7	559
7	9	554
8	10	557
9	11	560
10	12	557
11	13	557
12	14	558
13	15	554
14	17	553
15	18	558
16	19	557
17	20	559
18	22	560
19	23	558
20	24	554
21	25	556
22	26	553
23	27	550
24	29	557
25	30	556
26	31	554
27	32	554
28	34	563
29	36	564
30	37	567
31	39	572
32	40	570
33	41	567
34	42	568
35	44	568
36	45	571
37	46	571
38	48	569
39	49	567
40	50	565
41	51	564
42	52	563
43	54	560
44	55	559
45	56	559
46	57	557
47	58	553
48	60	555
49	61	550
50	61	545
51	63	543
52	63	538
53	65	543
54	66	539
55	67	535
56	68	531
57	69	530
58	70	526
59	71	522
60	72	519
61	73	515
62	73	511
63	75	514
64	76	512
65	77	511
66	78	509
67	80	509
68	81	508
69	82	506
70	83	505
71	84	505
72	86	505
73	87	504
74	88	502
75	89	500
76	90	499
77	92	498
78	93	496
79	94	496
80	95	494
81	96	493
82	98	493
83	99	491
84	100	490
85	101	489
86	102	488
87	104	487
88	105	487
89	106	485
90	107	484
91	108	482
92	110	482
93	111	481
94	112	480
95	114	479
96	115	479
97	116	479
98	118	478
99	119	477
100	121	478
101	122	477
102	123	476
103	124	475
104	125	473
105	127	472
106	128	471
107	129	471
108	131	470
109	132	469
110	133	468
111	134	467
112	136	468
113	138	468
114	139	466
115	140	466
116	142	464
117	143	463
118	144	462
119	146	464
120	147	462
121	148	459
122	150	460
123	151	459
124	153	459
125	154	457
126	155	456
127	157	457
128	158	456
129	160	456
130	161	454
131	162	454
132	163	452
133	165	451
134	166	450
135	167	449
136	168	447
137	170	446
138	171	444
139	172	443
140	173	442
141	174	441
142	177	444
143	180	445
144	182	445
145	183	445
146	185	444
147	186	443
148	187	442
149	189	441
150	190	440
151	192	439
152	193	438
153	194	436
154	195	435
155	196	434
156	198	432
157	199	432
158	200	430
159	201	429
160	203	428
161	204	427
162	206	426
163	207	424
164	208	422
165	209	421
166	210	420
167	211	418
168	213	417
169	214	416
170	216	415
171	218	416
172	219	414
173	220	413
174	222	412
175	223	410
176	224	409
177	225	407
178	226	406
179	227	404
180	229	403
181	230	402
182	231	401
183	233	400
184	234	399
185	235	397
186	236	396
187	238	395
188	239	393
189	240	392
190	242	391
191	243	390
192	244	389
193	245	387
194	246	386
195	248	384
196	249	383
197	250	381
198	251	380
199	252	379
200	254	378
201	255	377
202	256	375
203	258	374
204	259	373
205	260	372
206	262	370
207	263	369
208	264	368
209	266	367
210	267	366
211	268	364
212	270	363
213	271	363
214	273	362
215	274	361
216	275	359
217	277	358
218	278	356
219	280	356
220	281	355
221	282	353
222	283	352
223	284	350
224	286	349
225	287	348
226	288	347
227	290	346
228	291	344
229	292	343
230	293	342
231	294	340
232	295	339
233	297	337
234	298	336
235	299	335
236	300	333
237	301	332
238	303	331
239	304	329
240	305	328
241	306	326
242	307	325
243	308	323
244	309	322
245	310	320
246	311	318
247	312	317
248	312	315
249	313	313
250	314	311
251	315	310
252	316	308
253	316	306
254	317	305
255	318	303
256	319	302
257	320	300
258	321	299
259	322	297
260	323	295
261	323	294
262	324	292
263	325	291
264	326	289
265	327	287
266	328	286
267	328	284
268	329	283
269	330	281
270	331	280
271	332	279
272	333	277
273	334	275
274	335	274
275	336	273
276	337	271
277	338	270
278	339	268
279	340	267
280	341	265
281	341	264
282	342	262
283	343	261
284	344	259
285	345	258
286	346	256
287	348	256
288	349	254
289	349	253
290	350	251
291	351	250
292	352	249
293	353	247
294	354	246
295	355	244
296	356	243
297	357	242
298	358	241
299	360	240
300	361	239
301	363	238
302	365	237
303	366	236
304	367	235
305	368	233
306	370	232
307	371	231
308	372	230
309	373	229
310	375	227
311	376	226
312	377	225
313	378	224
314	380	223
315	381	222
316	382	221
317	384	219
318	385	218
319	386	217
320	387	216
321	388	214
322	390	213
323	391	212
324	392	211
325	393	210
326	395	209
327	396	207
328	397	206
329	398	205
330	400	204
331	401	203
332	402	201
333	403	200
334	404	199
335	405	198
336	407	196
337	408	195
338	409	194
339	410	193
340	412	192
341	413	191
342	414	189
343	416	188
344	417	187
345	418	186
346	420	185
347	421	184
348	422	182
349	424	181
350	425	180
351	426	179
352	428	178
353	430	177
354	431	176
355	432	174
356	433	173
357	435	172
358	436	171
359	438	170
360	439	169
361	440	167
362	441	166
363	443	165
364	444	164
365	445	162
366	446	161
367	447	160
368	448	159
369	450	158
370	451	156
371	452	155
372	453	154
373	455	153
